2015-08-24 10:19:39,548 [5] INFO  Umbraco.Core.CoreBootManager - [T1/D8] Umbraco application starting
2015-08-24 10:19:39,670 [5] INFO  Umbraco.Core.PluginManager - [T1/D8] Determining hash of code files on disk
2015-08-24 10:19:39,681 [5] INFO  Umbraco.Core.PluginManager - [T1/D8] Hash determined (took 9ms)
2015-08-24 10:19:39,699 [5] INFO  Umbraco.Core.PluginManager - [T1/D8] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-08-24 10:19:39,879 [5] INFO  Umbraco.Core.PluginManager - [T1/D8] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 37 (took 178ms)
2015-08-24 10:19:39,979 [5] INFO  Umbraco.Core.PluginManager - [T1/D8] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2015-08-24 10:19:39,983 [5] INFO  Umbraco.Core.PluginManager - [T1/D8] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 3ms)
2015-08-24 10:19:39,983 [5] INFO  Umbraco.Core.PluginManager - [T1/D8] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
2015-08-24 10:19:39,986 [5] INFO  Umbraco.Core.PluginManager - [T1/D8] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 16 (took 2ms)
2015-08-24 10:19:40,013 [5] INFO  Umbraco.Core.PluginManager - [T1/D8] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2015-08-24 10:19:40,016 [5] INFO  Umbraco.Core.PluginManager - [T1/D8] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 7 (took 2ms)
2015-08-24 10:19:40,016 [5] INFO  Umbraco.Core.PluginManager - [T1/D8] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2015-08-24 10:19:40,018 [5] INFO  Umbraco.Core.PluginManager - [T1/D8] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 38 (took 2ms)
2015-08-24 10:19:40,067 [5] INFO  Umbraco.Core.PluginManager - [T1/D8] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-08-24 10:19:40,069 [5] INFO  Umbraco.Core.PluginManager - [T1/D8] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 2ms)
2015-08-24 10:19:40,070 [5] INFO  Umbraco.Core.PluginManager - [T1/D8] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-08-24 10:19:40,072 [5] INFO  Umbraco.Core.PluginManager - [T1/D8] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 2ms)
2015-08-24 10:19:41,031 [5] INFO  Umbraco.Web.Search.ExamineEvents - [T1/D8] Initializing Examine and binding to business logic events
2015-08-24 10:19:41,158 [5] INFO  Umbraco.Web.Search.ExamineEvents - [T1/D8] Adding examine event handlers for index providers: 3
2015-08-24 10:19:41,198 [5] INFO  Umbraco.Core.CoreBootManager - [T1/D8] Umbraco application startup complete (took 1613ms)
2015-08-24 10:19:41,605 [5] INFO  Umbraco.Web.UmbracoModule - [T12/D8] Setting OriginalRequestUrl: localhost:8964/umbraco
2015-08-24 10:19:41,713 [5] INFO  umbraco.content - [T12/D8] Load Xml from file...
2015-08-24 10:19:41,726 [5] INFO  umbraco.content - [T12/D8] Loaded Xml from file.
2015-08-24 10:19:41,838 [5] INFO  Umbraco.Core.PluginManager - [T12/D8] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2015-08-24 10:19:41,844 [5] INFO  Umbraco.Core.PluginManager - [T12/D8] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 23 (took 4ms)
2015-08-24 10:19:42,601 [5] INFO  Umbraco.Core.PluginManager - [T12/D8] Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
